aldrivi01,1928,1,NY1,NL,22,40,7,11,0,0,1,4,0,,0,6,,0,2,,,22
alexada01,1929,1,DET,AL,155,626,110,215,43,15,25,137,5,9,56,63,,0,18,,,155
alexada01,1930,1,DET,AL,154,602,86,196,33,8,20,135,6,5,42,56,,2,14,,,154
alexada01,1931,1,DET,AL,135,517,75,168,47,3,3,87,5,8,64,35,,2,0,,,135
alexada01,1932,1,DET,AL,23,16,0,4,0,0,0,4,0,0,6,2,,0,0,,,23
alexada01,1932,2,BOS,AL,101,376,58,140,27,3,8,56,4,5,55,19,,1,0,,,101
alexada01,1933,1,BOS,AL,94,313,40,88,14,1,5,40,0,1,25,22,,1,0,,,94
alexahu01,1937,1,CLE,AL,7,11,0,1,0,0,0,0,1,0,0,5,,0,0,,,7
alexape01,1920,1,CHN,NL,46,118,9,27,4,1,1,14,0,0,11,26,,0,6,,,46
alexape01,1921,1,CHN,NL,31,95,8,29,3,1,1,14,0,1,2,13,,0,5,,,31
alexape01,1922,1,CHN,NL,33,85,4,15,1,0,0,11,0,0,6,16,,0,4,,,33
alexape01,1923,1,CHN,NL,39,111,10,24,3,1,1,10,0,0,1,11,,0,7,,,39
alexape01,1924,1,CHN,NL,21,65,3,15,2,0,1,10,0,1,2,8,,0,4,,,21
alexape01,1925,1,CHN,NL,32,79,7,19,4,1,2,12,0,2,1,5,,0,9,,,32
alexape01,1926,1,CHN,NL,7,15,1,7,2,0,0,3,0,,0,1,,0,3,,,7
alexape01,1926,2,SLN,NL,23,50,1,6,1,0,0,3,0,,2,14,,0,3,,,23
alexape01,1927,1,SLN,NL,37,94,7,23,3,1,0,6,0,,5,14,,0,3,,,37
alexape01,1928,1,SLN,NL,34,86,13,25,2,0,1,11,0,,4,8,,0,8,,,34
alexape01,1929,1,SLN,NL,22,41,2,2,0,0,0,2,0,,3,5,,1,3,,,22
alexape01,1930,1,PHI,NL,9,4,0,0,0,0,0,0,0,,2,0,,0,0,,,9
allenbo03,1937,1,PHI,NL,3,3,1,1,0,0,0,0,0,,0,1,,0,0,,0,3
allenet01,1926,1,CIN,NL,18,13,3,4,1,0,0,0,0,,0,3,,0,0,,,18
allenet01,1927,1,CIN,NL,111,359,54,106,26,4,2,20,12,,14,23,,2,13,,,111
allenet01,1928,1,CIN,NL,129,485,55,148,30,7,1,62,6,,27,29,,1,14,,,129
allenet01,1929,1,CIN,NL,143,538,69,157,27,11,6,64,21,,20,21,,0,10,,,143
allenet01,1930,1,CIN,NL,21,46,10,10,1,0,3,7,1,,5,2,,0,2,,,21
allenet01,1930,2,NY1,NL,76,238,48,73,9,2,7,31,5,,12,23,,0,8,,,76
allenet01,1931,1,NY1,NL,94,298,58,98,18,2,5,43,6,,15,15,,1,7,,,94
allenet01,1932,1,NY1,NL,54,103,13,18,6,2,1,7,0,,1,12,,2,1,,,54
allenet01,1933,1,SLN,NL,91,261,25,63,7,3,0,36,3,,13,22,,1,6,,4,91
allenet01,1934,1,PHI,NL,145,581,87,192,42,4,10,85,6,,33,47,,3,16,,16,145
allenet01,1935,1,PHI,NL,156,645,90,198,46,1,8,63,5,,43,54,,1,11,,5,156
allenet01,1936,1,PHI,NL,30,125,21,37,3,1,1,9,4,,4,8,,0,3,,4,30
allenet01,1936,2,CHN,NL,91,373,47,110,18,6,3,39,12,,13,30,,2,11,,9,91
allenet01,1937,1,SLA,AL,103,320,39,101,18,1,0,31,3,4,21,17,,1,7,,,103
allenet01,1938,1,SLA,AL,19,33,4,10,3,1,0,4,0,0,2,4,,0,1,,,19
allenjo02,1932,1,NYA,AL,33,73,5,9,2,1,1,5,0,0,4,22,,0,3,,,33
allenjo02,1933,1,NYA,AL,25,72,7,13,1,1,0,3,0,0,4,16,,0,2,,,25
allenjo02,1934,1,NYA,AL,13,26,2,5,0,0,0,1,0,0,4,6,,0,2,,,13
allenjo02,1935,1,NYA,AL,23,67,12,15,1,0,1,12,0,0,3,13,,0,3,,,23
allenjo02,1936,1,CLE,AL,37,87,12,14,0,0,0,10,0,0,6,18,,0,8,,,37
allenjo02,1937,1,CLE,AL,24,67,5,6,0,0,0,6,0,0,1,15,,0,4,,,24
allenjo02,1938,1,CLE,AL,30,79,12,20,2,1,1,14,1,0,3,14,,0,3,,,30
allenjo02,1939,1,CLE,AL,34,71,10,16,2,0,0,3,0,0,3,11,,0,2,,2,34
allenni01,1920,1,CIN,NL,43,85,10,23,3,1,0,4,0,0,6,11,,3,5,,,43
almadme01,1933,1,BOS,AL,14,44,11,15,0,0,1,3,3,1,11,3,,0,1,,,14
almadme01,1934,1,BOS,AL,23,90,7,21,2,1,0,10,3,2,6,8,,0,2,,,23
