gallibe01,10/14/1891,Beeville TX,USA,3/19/1976,Devine TX,USA,Bert,Gallia,165,72,R,R,9/4/1912,7/31/1920
niehadi01,10/24/1892,Covington KY,USA,3/12/1957,Atlanta GA,USA,Dick,Niehaus,165,71,L,L,9/9/1913,8/1/1920
fortuga01,10/11/1894,High Point NC,USA,9/23/1955,Washington DC,USA,Gary,Fortune,176,,B,R,10/5/1916,8/2/1920
okriefr01,10/27/1896,Detroit MI,USA,10/16/1959,Detroit MI,USA,Frank,Okrie,175,71,L,L,4/20/1920,8/4/1920
engeljo01,3/12/1893,Washington DC,USA,6/12/1969,Chattanooga TN,USA,Joe,Engel,183,,R,L,5/30/1912,8/6/1920
thomafr02,12/19/1892,Milwaukee WI,USA,1/15/1986,Rice Lake WI,USA,Fred,Thomas,160,70,R,R,4/22/1918,8/9/1920
bowmael01,3/19/1897,Proctor VT,USA,12/17/1985,Los Angeles CA,USA,Elmer,Bowman,193,72,R,R,8/3/1920,8/9/1920
pickch01,4/10/1888,Brookneal VA,USA,6/26/1954,Lynchburg VA,USA,Charlie,Pick,160,70,L,R,9/20/1914,8/13/1920
whelato01,1/3/1894,Lynn MA,USA,6/26/1957,Boston MA,USA,Tom,Whelan,175,71,R,R,8/13/1920,8/13/1920
chapmra01,1/15/1891,Beaver Dam KY,USA,8/17/1920,New York NY,USA,Ray,Chapman,170,70,R,R,8/30/1912,8/16/1920
thompfr02,7/2/1895,Springfield MO,USA,6/27/1940,Jasper Co. MO,USA,Frank,Thompson,155,68,R,R,5/6/1920,8/17/1920
glennbo01,6/16/1894,West Sunbury PA,USA,6/3/1977,Richmond CA,USA,Bob,Glenn,,,,,7/27/1920,8/17/1920
ellisge01,1/24/1897,San Francisco CA,USA,1/20/1978,San Francisco CA,USA,George,Ellison,185,75,R,R,8/21/1920,8/21/1920
shoreer01,3/24/1891,East Bend NC,USA,9/24/1980,Winston-Salem NC,USA,Ernie,Shore,220,76,R,R,6/20/1912,8/22/1920
dugeyos01,10/25/1887,Palestine TX,USA,1/1/1966,Dallas TX,USA,Oscar,Dugey,160,68,R,R,9/13/1913,8/25/1920
hendrcl01,4/13/1889,Olathe KS,USA,3/22/1944,Allentown PA,USA,Claude,Hendrix,195,72,R,R,6/7/1911,8/27/1920
gleicfr01,3/7/1894,Columbus OH,USA,3/27/1949,Columbus OH,USA,Frank,Gleich,175,71,L,R,9/17/1919,8/31/1920
conwaje01,6/7/1901,Holyoke MA,USA,4/16/1980,Holyoke MA,USA,Jerry,Conway,190,74,L,L,8/31/1920,8/31/1920
knowlbi01,8/18/1898,Philadelphia PA,USA,2/25/1944,Philadelphia PA,USA,Bill,Knowlton,,70,R,R,9/3/1920,9/3/1920
schinbi01,7/10/1896,Perryville MO,USA,2/6/1979,Perryville MO,USA,Bill,Schindler,160,71,R,R,9/3/1920,9/3/1920
catonho01,7/16/1896,Zanesville OH,USA,1/8/1948,Zanesville OH,USA,Howdy,Caton,165,66,R,R,9/17/1917,9/6/1920
jaegejo01,3/3/1895,St. Cloud MN,USA,12/13/1963,Hampton IA,USA,Joe,Jaeger,190,73,R,R,7/28/1920,9/6/1920
herzobu01,7/9/1885,Baltimore MD,USA,9/4/1953,Baltimore MD,USA,Buck,Herzog,160,71,R,R,4/17/1908,9/9/1920
scottge01,11/17/1895,Appanoose County IA,USA,12/3/1962,Philomath OR,USA,George,Scott,175,73,R,R,9/13/1920,9/13/1920
pruesea01,4/2/1895,Chicago IL,USA,8/28/1979,Branson MO,USA,Earl,Pruess,170,,R,R,9/15/1920,9/15/1920
sperapa01,10/5/1893,Annville PA,USA,2/22/1962,Cedar Rapids IA,USA,Paul,Speraw,145,,R,R,9/15/1920,9/15/1920
ormege01,9/16/1891,Lebanon IN,USA,3/16/1962,Indianapolis IN,USA,George,Orme,160,70,R,R,9/14/1920,9/17/1920
wilsomu01,7/20/1896,Kiser NC,USA,8/31/1962,Wildwood FL,USA,Mutt,Wilson,167,75,R,R,9/11/1920,9/18/1920
veddelo01,4/20/1897,Oakville MI,USA,3/9/1990,Lake Placid FL,USA,Lou,Vedder,175,,R,R,9/18/1920,9/18/1920
clairda01,11/17/1897,Ludington MI,USA,1/7/1956,Las Vegas NV,USA,Davey,Claire,164,68,R,R,9/17/1920,9/19/1920
mcmulfr01,10/13/1891,Scammon KS,USA,11/21/1952,Los Angeles CA,USA,Fred,McMullin,170,71,R,R,8/27/1914,9/20/1920
cartepa01,5/1/1894,Lake Park GA,USA,9/11/1984,Lake Park GA,USA,Paul,Carter,175,75,L,R,9/15/1914,9/20/1920
glaisjo01,7/28/1894,Yoakum TX,USA,3/7/1959,Houston TX,USA,John,Glaiser,165,68,L,R,4/20/1920,9/21/1920
glaseno01,8/31/1894,Cleveland OH,USA,5/27/1979,Parma OH,USA,Norman,Glaser,186,71,R,R,9/21/1920,9/21/1920
morribi01,11/21/1894,Portsmouth VA,USA,3/25/1966,Virginia Beach VA,USA,Bill,Morrisette,176,72,R,R,9/19/1915,9/23/1920
ellisba01,11/15/1896,Ola AR,USA,8/11/1955,San Francisco CA,USA,Babe,Ellison,170,71,R,R,9/18/1916,9/23/1920
lunteha01,9/15/1892,St. Louis MO,USA,7/27/1965,St.Louis MO,USA,Harry,Lunte,165,,R,R,5/19/1919,9/23/1920
friedcy01,7/23/1897,San Antonio TX,USA,10/10/1970,San Antonio TX,USA,Cy,Fried,150,,L,L,9/17/1920,9/23/1920
leifile01,9/5/1883,Trenton IL,USA,10/10/1970,Alexandria VA,USA,Lefty,Leifield,165,73,L,L,9/3/1905,9/24/1920
schenjo01,11/20/1887,Guyandotte WV,USA,9/26/1950,Huntington WV,USA,John,Scheneberg,180,73,B,R,9/23/1913,9/24/1920
griesti01,12/10/1897,San Antonio TX,USA,3/25/1953,San Antonio TX,USA,Tim,Griesenbeck,190,,R,R,9/11/1920,9/24/1920
schulwa01,4/16/1900,St. Louis MO,USA,2/27/1928,Prescott AZ,USA,Walt,Schulz,170,72,R,R,9/24/1920,9/24/1920
willile01,3/9/1893,Aurora MO,USA,11/4/1959,Laguna Beach CA,USA,Lefty,Williams,160,69,R,L,9/17/1913,9/25/1920
cicoted01,6/19/1884,Springwells MI,USA,5/5/1969,Detroit MI,USA,Eddie,Cicotte,175,69,B,R,9/3/1905,9/26/1920
felscha01,8/22/1891,Milwaukee WI,USA,8/17/1964,Milwaukee WI,USA,Happy,Felsch,175,71,R,R,4/14/1915,9/26/1920
knodemi01,11/8/1895,Westminster MD,USA,12/20/1980,South Bend IN,USA,Mike,Knode,160,70,R,R,6/28/1920,9/26/1920
jacksjo01,7/16/1889,Pickens County SC,USA,12/5/1951,Greenville SC,USA,Joe,Jackson,200,73,L,R,8/25/1908,9/27/1920
weavebu01,8/18/1890,Pottstown PA,USA,1/31/1956,Chicago IL,USA,Buck,Weaver,170,71,B,R,4/11/1912,9/27/1920
risbesw01,10/13/1894,San Francisco CA,USA,10/13/1975,Red Bluff CA,USA,Swede,Risberg,175,72,R,R,4/11/1917,9/27/1920
mckecbi01,8/7/1886,Wilkinsburg PA,USA,10/29/1965,Bradenton FL,USA,Bill,McKechnie,160,70,B,R,9/8/1907,9/28/1920
bradycl01,3/6/1897,St. Louis MO,USA,9/25/1974,Belleville IL,USA,Cliff,Brady,140,,R,R,8/8/1920,9/28/1920
weilmca01,11/29/1889,Hamilton OH,USA,5/25/1924,Hamilton OH,USA,Carl,Weilman,187,,L,L,8/24/1912,9/29/1920
hannatr01,6/5/1889,Larimore ND,USA,4/27/1982,Fountain Valley CA,USA,Truck,Hannah,190,73,R,R,4/15/1918,9/29/1920
lynnby01,3/13/1889,Unionville IL,USA,2/5/1940,Napa CA,USA,Byrd,Lynn,165,71,R,R,4/16/1916,10/1/1920
sherire01,11/14/1896,Brooklyn NY,USA,11/25/1975,Queens Village NY,USA,Red,Sheridan,160,,R,R,7/3/1918,10/1/1920
highch01,12/1/1898,Ava IL,USA,9/11/1960,Oak Grove OR,USA,Charlie,High,170,69,L,R,9/5/1919,10/1/1920
spencve01,2/4/1894,Wixom MI,USA,6/3/1971,Wixom MI,USA,Vern,Spencer,165,67,L,R,7/4/1920,10/1/1920
shannbi01,11/4/1894,Oakland City IN,USA,12/18/1986,Evansville IN,USA,Bill,Shanner,,,L,R,10/1/1920,10/1/1920
doylela01,7/31/1886,Caseyville IL,USA,3/1/1974,Saranac Lake NY,USA,Larry,Doyle,165,70,L,R,7/22/1907,10/2/1920
cravaga01,3/23/1881,Escondido CA,USA,5/23/1963,Laguna Beach CA,USA,Gavvy,Cravath,186,,R,R,4/18/1908,10/2/1920
raridbi01,2/4/1888,Bedford IN,USA,8/28/1942,Bedford IN,USA,Bill,Rariden,168,70,R,R,8/12/1909,10/2/1920
